Spectrum title              ,             M-1-5
Detector type ,             SDD (2016)
Voltage (kV)  ,              5 
Current (uA)  ,              600 
Primary filter              ,             Open
Helium used   ,             Yes
Live acquisition time (s)   ,              90 
Dead time (%) ,              10 
Channel       ,             counts
0             ,             0
1             ,             0
2             ,             0
3             ,             0
4             ,             0
5             ,             0
6             ,             0
7             ,             0
8             ,             0
9             ,             0
10            ,             0
11            ,             0
12            ,             0
13            ,             0
14            ,             0
15            ,             0
16            ,             0
17            ,             0
18            ,             0
19            ,             0
20            ,             0
21            ,             0
22            ,             0
23            ,             0
24            ,             0
25            ,             2
26            ,             6
27            ,             6
28            ,             14
29            ,             6
30            ,             14
31            ,             30
32            ,             37
33            ,             52
34            ,             69
35            ,             60
36            ,             84
37            ,             110
38            ,             145
39            ,             166
40            ,             195
41            ,             196
42            ,             228
43            ,             287
44            ,             290
45            ,             359
46            ,             330
47            ,             363
48            ,             423
49            ,             437
50            ,             502
51            ,             600
52            ,             711
53            ,             907
54            ,             1163
55            ,             1459
56            ,             1525
57            ,             1547
58            ,             1522
59            ,             1248
60            ,             966
61            ,             779
62            ,             626
63            ,             556
64            ,             472
65            ,             463
66            ,             447
67            ,             454
68            ,             451
69            ,             437
70            ,             443
71            ,             473
72            ,             460
73            ,             475
74            ,             477
75            ,             421
76            ,             384
77            ,             391
78            ,             377
79            ,             336
80            ,             352
81            ,             311
82            ,             321
83            ,             289
84            ,             290
85            ,             260
86            ,             288
87            ,             255
88            ,             286
89            ,             265
90            ,             259
91            ,             264
92            ,             247
93            ,             258
94            ,             249
95            ,             260
96            ,             258
97            ,             195
98            ,             250
99            ,             239
100           ,             264
101           ,             268
102           ,             225
103           ,             225
104           ,             266
105           ,             247
106           ,             236
107           ,             287
108           ,             215
109           ,             248
110           ,             230
111           ,             275
112           ,             260
113           ,             288
114           ,             239
115           ,             239
116           ,             265
117           ,             251
118           ,             252
119           ,             252
120           ,             246
121           ,             259
122           ,             258
123           ,             292
124           ,             281
125           ,             275
126           ,             270
127           ,             305
128           ,             264
129           ,             275
130           ,             266
131           ,             308
132           ,             323
133           ,             352
134           ,             370
135           ,             377
136           ,             421
137           ,             440
138           ,             489
139           ,             438
140           ,             495
141           ,             550
142           ,             557
143           ,             555
144           ,             608
145           ,             637
146           ,             621
147           ,             800
148           ,             844
149           ,             853
150           ,             819
151           ,             960
152           ,             963
153           ,             958
154           ,             985
155           ,             922
156           ,             1055
157           ,             1104
158           ,             1077
159           ,             1173
160           ,             1283
161           ,             1334
162           ,             1432
163           ,             1485
164           ,             1591
165           ,             1854
166           ,             2126
167           ,             2419
168           ,             3223
169           ,             3947
170           ,             5496
171           ,             8050
172           ,             11490
173           ,             16317
174           ,             21715
175           ,             28240
176           ,             33918
177           ,             38782
178           ,             42176
179           ,             43226
180           ,             42576
181           ,             40638
182           ,             38085
183           ,             34173
184           ,             31101
185           ,             26723
186           ,             22694
187           ,             18228
188           ,             14323
189           ,             10832
190           ,             8410
191           ,             6736
192           ,             5547
193           ,             4945
194           ,             4844
195           ,             4815
196           ,             5205
197           ,             5603
198           ,             6236
199           ,             6902
200           ,             7637
201           ,             8209
202           ,             8632
203           ,             9057
204           ,             9333
205           ,             9591
206           ,             9403
207           ,             9170
208           ,             9191
209           ,             8851
210           ,             9023
211           ,             9376
212           ,             9467
213           ,             9716
214           ,             10062
215           ,             10860
216           ,             11155
217           ,             11668
218           ,             12570
219           ,             13360
220           ,             14526
221           ,             16152
222           ,             18205
223           ,             21285
224           ,             25580
225           ,             31051
226           ,             38616
227           ,             46622
228           ,             55428
229           ,             63104
230           ,             69460
231           ,             71548
232           ,             71622
233           ,             68306
234           ,             61350
235           ,             53905
236           ,             45613
237           ,             37954
238           ,             32178
239           ,             27799
240           ,             24698
241           ,             22842
242           ,             22048
243           ,             21352
244           ,             21057
245           ,             21094
246           ,             20310
247           ,             20297
248           ,             19136
249           ,             18565
250           ,             17309
251           ,             16162
252           ,             14804
253           ,             14001
254           ,             12758
255           ,             11864
256           ,             11033
257           ,             10449
258           ,             10021
259           ,             9336
260           ,             8958
261           ,             8523
262           ,             8122
263           ,             7915
264           ,             7506
265           ,             7171
266           ,             7037
267           ,             6752
268           ,             6622
269           ,             6541
270           ,             6370
271           ,             6162
272           ,             6220
273           ,             6043
274           ,             6066
275           ,             5866
276           ,             5985
277           ,             5970
278           ,             5807
279           ,             5909
280           ,             6025
281           ,             5870
282           ,             5896
283           ,             5855
284           ,             6018
285           ,             6056
286           ,             5974
287           ,             6164
288           ,             6126
289           ,             6323
