Spectrum title              ,             2.5-1-1-2
Detector type ,             SDD (2016)
Voltage (kV)  ,              5 
Current (uA)  ,              600 
Primary filter              ,             Open
Helium used   ,             Yes
Live acquisition time (s)   ,              90 
Dead time (%) ,              10 
Channel       ,             counts
0             ,             0
1             ,             0
2             ,             0
3             ,             0
4             ,             0
5             ,             0
6             ,             0
7             ,             0
8             ,             0
9             ,             0
10            ,             0
11            ,             0
12            ,             0
13            ,             0
14            ,             0
15            ,             0
16            ,             0
17            ,             0
18            ,             0
19            ,             0
20            ,             0
21            ,             1
22            ,             0
23            ,             0
24            ,             0
25            ,             7
26            ,             4
27            ,             6
28            ,             9
29            ,             15
30            ,             18
31            ,             26
32            ,             30
33            ,             50
34            ,             67
35            ,             81
36            ,             89
37            ,             129
38            ,             146
39            ,             176
40            ,             179
41            ,             192
42            ,             245
43            ,             255
44            ,             277
45            ,             351
46            ,             302
47            ,             420
48            ,             411
49            ,             474
50            ,             499
51            ,             606
52            ,             743
53            ,             927
54            ,             1196
55            ,             1409
56            ,             1678
57            ,             1612
58            ,             1408
59            ,             1283
60            ,             1059
61            ,             815
62            ,             665
63            ,             585
64            ,             509
65            ,             533
66            ,             538
67            ,             467
68            ,             490
69            ,             464
70            ,             505
71            ,             458
72            ,             497
73            ,             513
74            ,             502
75            ,             460
76            ,             376
77            ,             349
78            ,             371
79            ,             362
80            ,             314
81            ,             327
82            ,             303
83            ,             307
84            ,             304
85            ,             294
86            ,             301
87            ,             260
88            ,             253
89            ,             260
90            ,             303
91            ,             248
92            ,             266
93            ,             270
94            ,             257
95            ,             266
96            ,             237
97            ,             224
98            ,             253
99            ,             239
100           ,             249
101           ,             232
102           ,             236
103           ,             245
104           ,             232
105           ,             254
106           ,             246
107           ,             257
108           ,             248
109           ,             263
110           ,             269
111           ,             255
112           ,             264
113           ,             211
114           ,             261
115           ,             244
116           ,             280
117           ,             263
118           ,             247
119           ,             266
120           ,             264
121           ,             309
122           ,             280
123           ,             263
124           ,             312
125           ,             326
126           ,             320
127           ,             317
128           ,             306
129           ,             303
130           ,             330
131           ,             318
132           ,             326
133           ,             326
134           ,             366
135           ,             380
136           ,             462
137           ,             484
138           ,             439
139           ,             507
140           ,             500
141           ,             526
142           ,             527
143           ,             582
144           ,             626
145           ,             668
146           ,             795
147           ,             748
148           ,             873
149           ,             930
150           ,             948
151           ,             964
152           ,             913
153           ,             974
154           ,             950
155           ,             917
156           ,             1024
157           ,             1123
158           ,             1122
159           ,             1195
160           ,             1265
161           ,             1320
162           ,             1475
163           ,             1648
164           ,             1757
165           ,             2057
166           ,             2305
167           ,             2930
168           ,             3760
169           ,             5186
170           ,             7137
171           ,             10128
172           ,             14095
173           ,             19418
174           ,             24852
175           ,             31012
176           ,             36392
177           ,             40118
178           ,             43185
179           ,             43354
180           ,             42702
181           ,             39820
182           ,             37094
183           ,             33153
184           ,             29410
185           ,             25786
186           ,             21498
187           ,             17438
188           ,             13449
189           ,             10453
190           ,             7947
191           ,             6144
192           ,             4970
193           ,             4564
194           ,             4370
195           ,             4453
196           ,             4642
197           ,             4921
198           ,             5505
199           ,             5930
200           ,             6378
201           ,             6765
202           ,             7499
203           ,             7798
204           ,             7972
205           ,             8249
206           ,             8197
207           ,             8190
208           ,             8093
209           ,             8066
210           ,             8015
211           ,             8409
212           ,             8761
213           ,             9217
214           ,             9515
215           ,             10162
216           ,             10861
217           ,             11572
218           ,             12636
219           ,             13743
220           ,             14925
221           ,             16650
222           ,             19108
223           ,             22331
224           ,             26810
225           ,             32868
226           ,             40513
227           ,             48705
228           ,             57553
229           ,             65554
230           ,             71540
231           ,             74972
232           ,             74332
233           ,             70883
234           ,             64298
235           ,             56547
236           ,             48350
237           ,             41283
238           ,             34960
239           ,             30770
240           ,             27108
241           ,             25476
242           ,             24510
243           ,             23689
244           ,             23239
245           ,             22968
246           ,             22498
247           ,             21936
248           ,             21218
249           ,             19837
250           ,             18553
251           ,             17325
252           ,             15853
253           ,             14476
254           ,             13681
255           ,             12441
256           ,             11638
257           ,             10931
258           ,             10172
259           ,             9556
260           ,             9097
261           ,             8633
262           ,             8480
263           ,             8112
264           ,             7592
265           ,             7665
266           ,             7054
267           ,             6837
268           ,             6773
269           ,             6468
270           ,             6267
271           ,             6339
272           ,             6108
273           ,             6051
274           ,             6187
275           ,             6148
276           ,             5941
277           ,             5991
278           ,             5971
279           ,             5966
280           ,             5812
281           ,             5795
282           ,             5876
283           ,             5884
284           ,             5760
285           ,             5874
286           ,             6074
287           ,             6166
288           ,             6047
