Spectrum title              ,             2.5-1-8-9
Detector type ,             SDD (2016)
Voltage (kV)  ,              5 
Current (uA)  ,              600 
Primary filter              ,             Open
Helium used   ,             Yes
Live acquisition time (s)   ,              90 
Dead time (%) ,              10 
Channel       ,             counts
0             ,             0
1             ,             0
2             ,             0
3             ,             0
4             ,             0
5             ,             0
6             ,             0
7             ,             0
8             ,             0
9             ,             0
10            ,             0
11            ,             0
12            ,             0
13            ,             0
14            ,             0
15            ,             0
16            ,             0
17            ,             0
18            ,             0
19            ,             0
20            ,             0
21            ,             0
22            ,             0
23            ,             1
24            ,             1
25            ,             2
26            ,             4
27            ,             5
28            ,             5
29            ,             16
30            ,             12
31            ,             27
32            ,             28
33            ,             31
34            ,             58
35            ,             81
36            ,             100
37            ,             95
38            ,             140
39            ,             167
40            ,             191
41            ,             204
42            ,             234
43            ,             256
44            ,             303
45            ,             325
46            ,             349
47            ,             423
48            ,             426
49            ,             444
50            ,             525
51            ,             589
52            ,             787
53            ,             981
54            ,             1197
55            ,             1364
56            ,             1577
57            ,             1674
58            ,             1525
59            ,             1288
60            ,             1062
61            ,             849
62            ,             711
63            ,             581
64            ,             511
65            ,             497
66            ,             485
67            ,             505
68            ,             499
69            ,             546
70            ,             478
71            ,             518
72            ,             501
73            ,             487
74            ,             464
75            ,             405
76            ,             444
77            ,             398
78            ,             339
79            ,             406
80            ,             360
81            ,             349
82            ,             334
83            ,             279
84            ,             326
85            ,             266
86            ,             303
87            ,             270
88            ,             290
89            ,             262
90            ,             281
91            ,             231
92            ,             277
93            ,             259
94            ,             237
95            ,             254
96            ,             253
97            ,             240
98            ,             281
99            ,             242
100           ,             255
101           ,             275
102           ,             275
103           ,             237
104           ,             250
105           ,             257
106           ,             257
107           ,             220
108           ,             236
109           ,             259
110           ,             229
111           ,             249
112           ,             233
113           ,             231
114           ,             234
115           ,             247
116           ,             253
117           ,             274
118           ,             274
119           ,             263
120           ,             266
121           ,             257
122           ,             285
123           ,             282
124           ,             296
125           ,             314
126           ,             254
127           ,             318
128           ,             296
129           ,             309
130           ,             329
131           ,             343
132           ,             342
133           ,             325
134           ,             399
135           ,             393
136           ,             441
137           ,             473
138           ,             481
139           ,             506
140           ,             522
141           ,             513
142           ,             557
143           ,             597
144           ,             658
145           ,             705
146           ,             786
147           ,             831
148           ,             843
149           ,             915
150           ,             911
151           ,             899
152           ,             971
153           ,             1022
154           ,             981
155           ,             971
156           ,             997
157           ,             1086
158           ,             1168
159           ,             1163
160           ,             1299
161           ,             1391
162           ,             1414
163           ,             1600
164           ,             1752
165           ,             2039
166           ,             2302
167           ,             2917
168           ,             3746
169           ,             5155
170           ,             7210
171           ,             10367
172           ,             14296
173           ,             19569
174           ,             25295
175           ,             30946
176           ,             36625
177           ,             41301
178           ,             43015
179           ,             44194
180           ,             42351
181           ,             40500
182           ,             37420
183           ,             34102
184           ,             30000
185           ,             25914
186           ,             21861
187           ,             17510
188           ,             13900
189           ,             10391
190           ,             7977
191           ,             6247
192           ,             5225
193           ,             4573
194           ,             4318
195           ,             4348
196           ,             4501
197           ,             5026
198           ,             5527
199           ,             5961
200           ,             6510
201           ,             7029
202           ,             7452
203           ,             7925
204           ,             8134
205           ,             8350
206           ,             8254
207           ,             8414
208           ,             8139
209           ,             8313
210           ,             8295
211           ,             8617
212           ,             8843
213           ,             9192
214           ,             9920
215           ,             10514
216           ,             11072
217           ,             11801
218           ,             12601
219           ,             13719
220           ,             15300
221           ,             16764
222           ,             19333
223           ,             22413
224           ,             27166
225           ,             33130
226           ,             40472
227           ,             49113
228           ,             58457
229           ,             66201
230           ,             71942
231           ,             75337
232           ,             74856
233           ,             72153
234           ,             64914
235           ,             56859
236           ,             48544
237           ,             41776
238           ,             34709
239           ,             30700
240           ,             27447
241           ,             25467
242           ,             24125
243           ,             23737
244           ,             23335
245           ,             22931
246           ,             22330
247           ,             21659
248           ,             20861
249           ,             19703
250           ,             18821
251           ,             17083
252           ,             15721
253           ,             14712
254           ,             13612
255           ,             12359
256           ,             11631
257           ,             10861
258           ,             10232
259           ,             9718
260           ,             9049
261           ,             8715
262           ,             8222
263           ,             7916
264           ,             7433
265           ,             7371
266           ,             7108
267           ,             6858
268           ,             6679
269           ,             6505
270           ,             6425
271           ,             6351
272           ,             6236
273           ,             6012
274           ,             6082
275           ,             5988
276           ,             5827
277           ,             6037
278           ,             6023
279           ,             5777
280           ,             5945
281           ,             5877
282           ,             5991
283           ,             5998
284           ,             5976
285           ,             5993
286           ,             6028
287           ,             6101
288           ,             6226
