Spectrum title              ,             M-2-8
Detector type ,             SDD (2016)
Voltage (kV)  ,              5 
Current (uA)  ,              600 
Primary filter              ,             Open
Helium used   ,             Yes
Live acquisition time (s)   ,              90 
Dead time (%) ,              10 
Channel       ,             counts
0             ,             0
1             ,             0
2             ,             0
3             ,             0
4             ,             0
5             ,             0
6             ,             0
7             ,             0
8             ,             0
9             ,             0
10            ,             0
11            ,             0
12            ,             0
13            ,             0
14            ,             0
15            ,             0
16            ,             0
17            ,             0
18            ,             0
19            ,             0
20            ,             0
21            ,             0
22            ,             0
23            ,             0
24            ,             0
25            ,             0
26            ,             5
27            ,             11
28            ,             7
29            ,             13
30            ,             11
31            ,             28
32            ,             38
33            ,             41
34            ,             45
35            ,             78
36            ,             96
37            ,             119
38            ,             152
39            ,             180
40            ,             190
41            ,             198
42            ,             250
43            ,             291
44            ,             293
45            ,             327
46            ,             364
47            ,             384
48            ,             448
49            ,             451
50            ,             473
51            ,             609
52            ,             725
53            ,             945
54            ,             1185
55            ,             1451
56            ,             1599
57            ,             1554
58            ,             1423
59            ,             1263
60            ,             1004
61            ,             756
62            ,             653
63            ,             565
64            ,             502
65            ,             443
66            ,             459
67            ,             436
68            ,             472
69            ,             432
70            ,             466
71            ,             481
72            ,             488
73            ,             476
74            ,             437
75            ,             443
76            ,             390
77            ,             358
78            ,             350
79            ,             330
80            ,             333
81            ,             351
82            ,             318
83            ,             287
84            ,             300
85            ,             317
86            ,             275
87            ,             300
88            ,             288
89            ,             273
90            ,             259
91            ,             248
92            ,             257
93            ,             263
94            ,             248
95            ,             269
96            ,             252
97            ,             252
98            ,             232
99            ,             245
100           ,             248
101           ,             249
102           ,             252
103           ,             253
104           ,             223
105           ,             264
106           ,             241
107           ,             243
108           ,             231
109           ,             246
110           ,             243
111           ,             259
112           ,             224
113           ,             248
114           ,             240
115           ,             250
116           ,             239
117           ,             242
118           ,             240
119           ,             273
120           ,             265
121           ,             265
122           ,             304
123           ,             260
124           ,             271
125           ,             282
126           ,             282
127           ,             306
128           ,             286
129           ,             289
130           ,             289
131           ,             320
132           ,             312
133           ,             374
134           ,             346
135           ,             370
136           ,             369
137           ,             458
138           ,             496
139           ,             497
140           ,             470
141           ,             506
142           ,             569
143           ,             536
144           ,             631
145           ,             663
146           ,             727
147           ,             808
148           ,             855
149           ,             879
150           ,             989
151           ,             944
152           ,             903
153           ,             883
154           ,             914
155           ,             937
156           ,             1014
157           ,             1014
158           ,             1056
159           ,             1222
160           ,             1180
161           ,             1357
162           ,             1490
163           ,             1559
164           ,             1738
165           ,             1888
166           ,             2105
167           ,             2447
168           ,             3014
169           ,             4017
170           ,             5694
171           ,             8066
172           ,             11391
173           ,             16695
174           ,             22214
175           ,             28208
176           ,             34263
177           ,             38844
178           ,             42068
179           ,             43190
180           ,             43128
181           ,             40984
182           ,             38293
183           ,             34811
184           ,             30823
185           ,             26682
186           ,             22751
187           ,             18050
188           ,             14427
189           ,             11214
190           ,             8377
191           ,             6561
192           ,             5437
193           ,             4845
194           ,             4799
195           ,             4902
196           ,             5262
197           ,             5755
198           ,             6184
199           ,             6872
200           ,             7538
201           ,             8142
202           ,             8764
203           ,             9088
204           ,             9325
205           ,             9509
206           ,             9434
207           ,             9257
208           ,             9247
209           ,             9190
210           ,             9121
211           ,             9281
212           ,             9427
213           ,             9800
214           ,             10288
215           ,             10715
216           ,             11310
217           ,             11922
218           ,             12709
219           ,             13727
220           ,             14698
221           ,             16210
222           ,             18618
223           ,             21130
224           ,             25615
225           ,             31071
226           ,             38357
227           ,             46888
228           ,             55385
229           ,             63089
230           ,             68685
231           ,             71687
232           ,             71478
233           ,             67995
234           ,             61286
235           ,             53400
236           ,             45288
237           ,             38203
238           ,             32057
239           ,             27702
240           ,             24667
241           ,             22864
242           ,             21673
243           ,             21179
244           ,             20998
245           ,             20435
246           ,             20308
247           ,             19976
248           ,             19372
249           ,             18391
250           ,             17131
251           ,             16015
252           ,             14950
253           ,             13639
254           ,             12518
255           ,             11830
256           ,             10978
257           ,             10344
258           ,             9898
259           ,             9297
260           ,             8890
261           ,             8322
262           ,             8027
263           ,             7770
264           ,             7542
265           ,             7287
266           ,             6906
267           ,             6787
268           ,             6559
269           ,             6596
270           ,             6340
271           ,             6150
272           ,             6253
273           ,             6081
274           ,             6167
275           ,             5960
276           ,             5986
277           ,             5940
278           ,             6015
279           ,             5968
280           ,             5961
281           ,             5899
282           ,             5995
283           ,             6022
284           ,             6126
285           ,             5998
286           ,             6162
287           ,             6017
288           ,             6151
289           ,             6126
