Spectrum title              ,             2.5-1-7-1
Detector type ,             SDD (2016)
Voltage (kV)  ,              5 
Current (uA)  ,              600 
Primary filter              ,             Open
Helium used   ,             Yes
Live acquisition time (s)   ,              90 
Dead time (%) ,              10 
Channel       ,             counts
0             ,             0
1             ,             0
2             ,             0
3             ,             0
4             ,             0
5             ,             0
6             ,             0
7             ,             0
8             ,             0
9             ,             0
10            ,             0
11            ,             0
12            ,             0
13            ,             0
14            ,             0
15            ,             0
16            ,             0
17            ,             0
18            ,             0
19            ,             1
20            ,             0
21            ,             0
22            ,             0
23            ,             1
24            ,             0
25            ,             0
26            ,             6
27            ,             4
28            ,             5
29            ,             13
30            ,             17
31            ,             24
32            ,             31
33            ,             51
34            ,             61
35            ,             75
36            ,             100
37            ,             117
38            ,             114
39            ,             144
40            ,             181
41            ,             195
42            ,             222
43            ,             268
44            ,             308
45            ,             340
46            ,             348
47            ,             402
48            ,             418
49            ,             423
50            ,             484
51            ,             561
52            ,             726
53            ,             1001
54            ,             1212
55            ,             1472
56            ,             1680
57            ,             1630
58            ,             1480
59            ,             1280
60            ,             1018
61            ,             831
62            ,             637
63            ,             578
64            ,             473
65            ,             460
66            ,             493
67            ,             478
68            ,             458
69            ,             489
70            ,             499
71            ,             502
72            ,             465
73            ,             507
74            ,             457
75            ,             436
76            ,             429
77            ,             386
78            ,             403
79            ,             363
80            ,             344
81            ,             345
82            ,             333
83            ,             327
84            ,             313
85            ,             272
86            ,             250
87            ,             317
88            ,             289
89            ,             294
90            ,             261
91            ,             297
92            ,             241
93            ,             277
94            ,             260
95            ,             274
96            ,             237
97            ,             298
98            ,             242
99            ,             225
100           ,             265
101           ,             254
102           ,             251
103           ,             252
104           ,             264
105           ,             241
106           ,             237
107           ,             249
108           ,             264
109           ,             243
110           ,             230
111           ,             252
112           ,             254
113           ,             255
114           ,             238
115           ,             235
116           ,             266
117           ,             256
118           ,             243
119           ,             267
120           ,             287
121           ,             301
122           ,             282
123           ,             257
124           ,             295
125           ,             306
126           ,             314
127           ,             268
128           ,             330
129           ,             317
130           ,             344
131           ,             292
132           ,             348
133           ,             346
134           ,             372
135           ,             437
136           ,             427
137           ,             468
138           ,             509
139           ,             490
140           ,             515
141           ,             516
142           ,             568
143           ,             569
144           ,             609
145           ,             653
146           ,             738
147           ,             777
148           ,             787
149           ,             877
150           ,             910
151           ,             916
152           ,             939
153           ,             950
154           ,             953
155           ,             995
156           ,             1010
157           ,             1059
158           ,             1148
159           ,             1196
160           ,             1241
161           ,             1413
162           ,             1454
163           ,             1553
164           ,             1758
165           ,             1969
166           ,             2327
167           ,             2886
168           ,             3660
169           ,             5041
170           ,             6994
171           ,             10057
172           ,             14124
173           ,             19264
174           ,             24997
175           ,             31204
176           ,             35769
177           ,             40415
178           ,             42879
179           ,             43822
180           ,             42737
181           ,             39933
182           ,             37433
183           ,             33572
184           ,             29889
185           ,             25648
186           ,             21753
187           ,             17581
188           ,             13638
189           ,             10348
190           ,             8076
191           ,             6217
192           ,             5098
193           ,             4473
194           ,             4375
195           ,             4478
196           ,             4589
197           ,             4916
198           ,             5501
199           ,             6000
200           ,             6283
201           ,             6744
202           ,             7283
203           ,             7878
204           ,             7996
205           ,             8053
206           ,             8074
207           ,             7932
208           ,             7997
209           ,             8100
210           ,             8223
211           ,             7978
212           ,             8498
213           ,             8931
214           ,             9408
215           ,             9942
216           ,             10674
217           ,             11387
218           ,             12050
219           ,             13227
220           ,             14502
221           ,             16053
222           ,             18859
223           ,             21841
224           ,             26012
225           ,             31850
226           ,             39619
227           ,             48001
228           ,             57605
229           ,             65522
230           ,             71571
231           ,             74728
232           ,             73967
233           ,             70655
234           ,             63974
235           ,             56510
236           ,             48349
237           ,             40952
238           ,             34722
239           ,             30402
240           ,             27196
241           ,             25015
242           ,             23993
243           ,             23622
244           ,             23157
245           ,             22890
246           ,             22412
247           ,             21746
248           ,             21031
249           ,             19714
250           ,             18519
251           ,             17566
252           ,             16224
253           ,             15031
254           ,             13714
255           ,             12734
256           ,             11807
257           ,             11085
258           ,             10309
259           ,             9857
260           ,             9309
261           ,             8874
262           ,             8144
263           ,             8233
264           ,             7713
265           ,             7322
266           ,             7179
267           ,             6849
268           ,             6749
269           ,             6695
270           ,             6428
271           ,             6347
272           ,             6329
273           ,             6134
274           ,             6159
275           ,             5932
276           ,             6104
277           ,             5943
278           ,             5943
279           ,             5979
280           ,             5972
281           ,             5953
282           ,             5921
283           ,             5959
284           ,             6012
285           ,             6019
286           ,             6075
287           ,             6115
288           ,             6146
