Spectrum title              ,             M-5-4
Detector type ,             SDD (2016)
Voltage (kV)  ,              5 
Current (uA)  ,              600 
Primary filter              ,             Open
Helium used   ,             Yes
Live acquisition time (s)   ,              90 
Dead time (%) ,              10 
Channel       ,             counts
0             ,             0
1             ,             0
2             ,             0
3             ,             0
4             ,             0
5             ,             0
6             ,             0
7             ,             0
8             ,             0
9             ,             0
10            ,             0
11            ,             0
12            ,             0
13            ,             0
14            ,             0
15            ,             0
16            ,             0
17            ,             0
18            ,             0
19            ,             0
20            ,             0
21            ,             0
22            ,             0
23            ,             0
24            ,             1
25            ,             1
26            ,             6
27            ,             7
28            ,             10
29            ,             15
30            ,             14
31            ,             29
32            ,             35
33            ,             54
34            ,             49
35            ,             81
36            ,             83
37            ,             143
38            ,             132
39            ,             156
40            ,             185
41            ,             209
42            ,             224
43            ,             278
44            ,             301
45            ,             338
46            ,             368
47            ,             387
48            ,             408
49            ,             424
50            ,             498
51            ,             625
52            ,             738
53            ,             903
54            ,             1135
55            ,             1343
56            ,             1552
57            ,             1508
58            ,             1414
59            ,             1244
60            ,             1002
61            ,             796
62            ,             638
63            ,             540
64            ,             501
65            ,             445
66            ,             472
67            ,             414
68            ,             470
69            ,             443
70            ,             458
71            ,             503
72            ,             428
73            ,             472
74            ,             405
75            ,             419
76            ,             432
77            ,             376
78            ,             344
79            ,             317
80            ,             335
81            ,             316
82            ,             319
83            ,             296
84            ,             271
85            ,             277
86            ,             266
87            ,             304
88            ,             284
89            ,             287
90            ,             266
91            ,             252
92            ,             262
93            ,             251
94            ,             228
95            ,             260
96            ,             240
97            ,             238
98            ,             226
99            ,             252
100           ,             252
101           ,             216
102           ,             224
103           ,             214
104           ,             215
105           ,             268
106           ,             268
107           ,             236
108           ,             231
109           ,             248
110           ,             249
111           ,             269
112           ,             258
113           ,             245
114           ,             221
115           ,             230
116           ,             238
117           ,             257
118           ,             249
119           ,             281
120           ,             279
121           ,             278
122           ,             283
123           ,             261
124           ,             275
125           ,             310
126           ,             296
127           ,             279
128           ,             249
129           ,             269
130           ,             295
131           ,             280
132           ,             305
133           ,             345
134           ,             347
135           ,             404
136           ,             418
137           ,             418
138           ,             476
139           ,             495
140           ,             499
141           ,             500
142           ,             547
143           ,             536
144           ,             651
145           ,             701
146           ,             718
147           ,             795
148           ,             834
149           ,             924
150           ,             907
151           ,             897
152           ,             891
153           ,             968
154           ,             974
155           ,             948
156           ,             1029
157           ,             1035
158           ,             1159
159           ,             1146
160           ,             1223
161           ,             1331
162           ,             1470
163           ,             1516
164           ,             1668
165           ,             1813
166           ,             2063
167           ,             2376
168           ,             3158
169           ,             4112
170           ,             5533
171           ,             8064
172           ,             11390
173           ,             16390
174           ,             22042
175           ,             28500
176           ,             34084
177           ,             39308
178           ,             41964
179           ,             43487
180           ,             43283
181           ,             40804
182           ,             38207
183           ,             34579
184           ,             31145
185           ,             26794
186           ,             22559
187           ,             18103
188           ,             14487
189           ,             11088
190           ,             8473
191           ,             6514
192           ,             5577
193           ,             4940
194           ,             4849
195           ,             4966
196           ,             5155
197           ,             5809
198           ,             6284
199           ,             6809
200           ,             7772
201           ,             8295
202           ,             8775
203           ,             9349
204           ,             9493
205           ,             9699
206           ,             9395
207           ,             9388
208           ,             9245
209           ,             9304
210           ,             9166
211           ,             9302
212           ,             9642
213           ,             9836
214           ,             10484
215           ,             10637
216           ,             11158
217           ,             12030
218           ,             12626
219           ,             13701
220           ,             14688
221           ,             16124
222           ,             18345
223           ,             21548
224           ,             25972
225           ,             31695
226           ,             38836
227           ,             46929
228           ,             55791
229           ,             63093
230           ,             69476
231           ,             71843
232           ,             71816
233           ,             68041
234           ,             61195
235           ,             53349
236           ,             45418
237           ,             38378
238           ,             32293
239           ,             27753
240           ,             24779
241           ,             22820
242           ,             22110
243           ,             21499
244           ,             21294
245           ,             21096
246           ,             20737
247           ,             20096
248           ,             19272
249           ,             18353
250           ,             17192
251           ,             16092
252           ,             15019
253           ,             13813
254           ,             12759
255           ,             11966
256           ,             11097
257           ,             10635
258           ,             9772
259           ,             9327
260           ,             8955
261           ,             8586
262           ,             8137
263           ,             7980
264           ,             7535
265           ,             7170
266           ,             7081
267           ,             6768
268           ,             6529
269           ,             6498
270           ,             6398
271           ,             6390
272           ,             6164
273           ,             6048
274           ,             5960
275           ,             5929
276           ,             5965
277           ,             5898
278           ,             5913
279           ,             5965
280           ,             5887
281           ,             5748
282           ,             6041
283           ,             6028
284           ,             5927
285           ,             5984
286           ,             6177
287           ,             6114
288           ,             6160
289           ,             6205
