Spectrum title              ,             M-6-9
Detector type ,             SDD (2016)
Voltage (kV)  ,              5 
Current (uA)  ,              600 
Primary filter              ,             Open
Helium used   ,             Yes
Live acquisition time (s)   ,              90 
Dead time (%) ,              10 
Channel       ,             counts
0             ,             0
1             ,             0
2             ,             0
3             ,             0
4             ,             0
5             ,             0
6             ,             0
7             ,             0
8             ,             0
9             ,             0
10            ,             0
11            ,             0
12            ,             0
13            ,             0
14            ,             0
15            ,             0
16            ,             0
17            ,             0
18            ,             0
19            ,             0
20            ,             0
21            ,             0
22            ,             1
23            ,             0
24            ,             1
25            ,             5
26            ,             2
27            ,             5
28            ,             11
29            ,             14
30            ,             28
31            ,             28
32            ,             35
33            ,             56
34            ,             62
35            ,             86
36            ,             95
37            ,             117
38            ,             146
39            ,             166
40            ,             177
41            ,             232
42            ,             251
43            ,             291
44            ,             328
45            ,             359
46            ,             354
47            ,             368
48            ,             382
49            ,             395
50            ,             454
51            ,             550
52            ,             680
53            ,             939
54            ,             1181
55            ,             1447
56            ,             1582
57            ,             1620
58            ,             1501
59            ,             1228
60            ,             992
61            ,             754
62            ,             630
63            ,             530
64            ,             486
65            ,             437
66            ,             454
67            ,             462
68            ,             451
69            ,             502
70            ,             445
71            ,             447
72            ,             435
73            ,             455
74            ,             424
75            ,             392
76            ,             426
77            ,             382
78            ,             341
79            ,             356
80            ,             344
81            ,             313
82            ,             292
83            ,             323
84            ,             298
85            ,             259
86            ,             262
87            ,             287
88            ,             314
89            ,             269
90            ,             288
91            ,             250
92            ,             239
93            ,             228
94            ,             250
95            ,             239
96            ,             267
97            ,             278
98            ,             225
99            ,             260
100           ,             256
101           ,             237
102           ,             251
103           ,             251
104           ,             243
105           ,             237
106           ,             262
107           ,             238
108           ,             249
109           ,             264
110           ,             225
111           ,             258
112           ,             247
113           ,             242
114           ,             241
115           ,             249
116           ,             273
117           ,             235
118           ,             260
119           ,             286
120           ,             246
121           ,             249
122           ,             291
123           ,             279
124           ,             273
125           ,             271
126           ,             306
127           ,             280
128           ,             293
129           ,             309
130           ,             318
131           ,             291
132           ,             319
133           ,             336
134           ,             367
135           ,             408
136           ,             429
137           ,             451
138           ,             483
139           ,             480
140           ,             518
141           ,             521
142           ,             557
143           ,             546
144           ,             615
145           ,             606
146           ,             687
147           ,             811
148           ,             924
149           ,             884
150           ,             993
151           ,             904
152           ,             887
153           ,             973
154           ,             950
155           ,             1003
156           ,             1021
157           ,             1019
158           ,             1084
159           ,             1157
160           ,             1242
161           ,             1289
162           ,             1386
163           ,             1532
164           ,             1729
165           ,             1935
166           ,             2132
167           ,             2461
168           ,             3014
169           ,             4000
170           ,             5657
171           ,             8055
172           ,             11475
173           ,             16266
174           ,             22167
175           ,             28429
176           ,             34306
177           ,             39246
178           ,             41804
179           ,             43109
180           ,             43097
181           ,             41075
182           ,             38465
183           ,             34656
184           ,             31019
185           ,             26629
186           ,             22429
187           ,             18250
188           ,             14610
189           ,             10842
190           ,             8467
191           ,             6625
192           ,             5430
193           ,             4995
194           ,             4872
195           ,             4906
196           ,             5242
197           ,             5707
198           ,             6136
199           ,             6979
200           ,             7700
201           ,             8292
202           ,             8864
203           ,             9077
204           ,             9524
205           ,             9501
206           ,             9633
207           ,             9205
208           ,             9144
209           ,             9089
210           ,             9222
211           ,             9188
212           ,             9650
213           ,             9792
214           ,             10243
215           ,             10883
216           ,             11521
217           ,             11915
218           ,             12722
219           ,             13694
220           ,             15016
221           ,             16219
222           ,             18392
223           ,             21281
224           ,             25848
225           ,             31345
226           ,             38368
227           ,             46880
228           ,             55316
229           ,             63356
230           ,             68795
231           ,             72061
232           ,             71470
233           ,             67933
234           ,             61440
235           ,             53452
236           ,             45657
237           ,             38396
238           ,             32437
239           ,             28187
240           ,             24556
241           ,             22912
242           ,             22045
243           ,             21286
244           ,             21264
245           ,             21291
246           ,             20769
247           ,             20401
248           ,             19452
249           ,             18582
250           ,             17705
251           ,             16251
252           ,             15233
253           ,             14025
254           ,             12795
255           ,             12124
256           ,             11109
257           ,             10298
258           ,             9969
259           ,             9411
260           ,             9094
261           ,             8582
262           ,             8231
263           ,             7869
264           ,             7460
265           ,             7228
266           ,             7009
267           ,             6745
268           ,             6788
269           ,             6546
270           ,             6421
271           ,             6212
272           ,             6206
273           ,             6067
274           ,             5924
275           ,             5919
276           ,             5918
277           ,             5804
278           ,             5917
279           ,             5879
280           ,             5912
281           ,             5849
282           ,             5964
283           ,             5913
284           ,             5922
285           ,             6036
286           ,             6184
287           ,             6135
288           ,             6138
289           ,             6332
