Spectrum title              ,             M-2-10
Detector type ,             SDD (2016)
Voltage (kV)  ,              5 
Current (uA)  ,              600 
Primary filter              ,             Open
Helium used   ,             Yes
Live acquisition time (s)   ,              90 
Dead time (%) ,              10 
Channel       ,             counts
0             ,             0
1             ,             0
2             ,             0
3             ,             0
4             ,             0
5             ,             0
6             ,             0
7             ,             0
8             ,             0
9             ,             0
10            ,             0
11            ,             0
12            ,             0
13            ,             0
14            ,             0
15            ,             0
16            ,             0
17            ,             0
18            ,             0
19            ,             0
20            ,             0
21            ,             0
22            ,             0
23            ,             0
24            ,             1
25            ,             2
26            ,             6
27            ,             2
28            ,             7
29            ,             15
30            ,             19
31            ,             22
32            ,             40
33            ,             65
34            ,             63
35            ,             71
36            ,             103
37            ,             125
38            ,             154
39            ,             170
40            ,             204
41            ,             222
42            ,             230
43            ,             271
44            ,             291
45            ,             347
46            ,             367
47            ,             417
48            ,             418
49            ,             432
50            ,             468
51            ,             571
52            ,             696
53            ,             929
54            ,             1173
55            ,             1367
56            ,             1536
57            ,             1597
58            ,             1482
59            ,             1225
60            ,             1029
61            ,             800
62            ,             613
63            ,             536
64            ,             434
65            ,             462
66            ,             468
67            ,             428
68            ,             490
69            ,             437
70            ,             478
71            ,             439
72            ,             461
73            ,             456
74            ,             433
75            ,             448
76            ,             364
77            ,             375
78            ,             325
79            ,             304
80            ,             334
81            ,             300
82            ,             326
83            ,             307
84            ,             268
85            ,             298
86            ,             301
87            ,             254
88            ,             276
89            ,             245
90            ,             293
91            ,             269
92            ,             258
93            ,             247
94            ,             264
95            ,             235
96            ,             252
97            ,             273
98            ,             245
99            ,             254
100           ,             242
101           ,             242
102           ,             225
103           ,             229
104           ,             251
105           ,             241
106           ,             236
107           ,             220
108           ,             246
109           ,             212
110           ,             251
111           ,             262
112           ,             248
113           ,             245
114           ,             274
115           ,             257
116           ,             253
117           ,             270
118           ,             285
119           ,             282
120           ,             275
121           ,             274
122           ,             272
123           ,             263
124           ,             279
125           ,             305
126           ,             315
127           ,             265
128           ,             271
129           ,             319
130           ,             293
131           ,             315
132           ,             332
133           ,             334
134           ,             367
135           ,             401
136           ,             391
137           ,             431
138           ,             499
139           ,             496
140           ,             526
141           ,             518
142           ,             542
143           ,             633
144           ,             620
145           ,             702
146           ,             759
147           ,             777
148           ,             858
149           ,             911
150           ,             917
151           ,             902
152           ,             977
153           ,             952
154           ,             994
155           ,             908
156           ,             1024
157           ,             1103
158           ,             1159
159           ,             1167
160           ,             1270
161           ,             1390
162           ,             1451
163           ,             1544
164           ,             1725
165           ,             1846
166           ,             2085
167           ,             2432
168           ,             3046
169           ,             4083
170           ,             5415
171           ,             7977
172           ,             11797
173           ,             16310
174           ,             21678
175           ,             28232
176           ,             34191
177           ,             39229
178           ,             41964
179           ,             43331
180           ,             42792
181           ,             40682
182           ,             38017
183           ,             34808
184           ,             30900
185           ,             26589
186           ,             22641
187           ,             18218
188           ,             14407
189           ,             10881
190           ,             8305
191           ,             6593
192           ,             5635
193           ,             4925
194           ,             4850
195           ,             4977
196           ,             5222
197           ,             5758
198           ,             6188
199           ,             6951
200           ,             7598
201           ,             8111
202           ,             8868
203           ,             9072
204           ,             9390
205           ,             9397
206           ,             9269
207           ,             9269
208           ,             9315
209           ,             8880
210           ,             9125
211           ,             9301
212           ,             9396
213           ,             9789
214           ,             10268
215           ,             10477
216           ,             11283
217           ,             11765
218           ,             12776
219           ,             13553
220           ,             14847
221           ,             16486
222           ,             18167
223           ,             21654
224           ,             25694
225           ,             31237
226           ,             38828
227           ,             46950
228           ,             55102
229           ,             63230
230           ,             69138
231           ,             72257
232           ,             72114
233           ,             68139
234           ,             61584
235           ,             53522
236           ,             45066
237           ,             38090
238           ,             32194
239           ,             27703
240           ,             24741
241           ,             22792
242           ,             21674
243           ,             21324
244           ,             20802
245           ,             20758
246           ,             20571
247           ,             20062
248           ,             19225
249           ,             18346
250           ,             16987
251           ,             15907
252           ,             14789
253           ,             13534
254           ,             12794
255           ,             11874
256           ,             11170
257           ,             10120
258           ,             9780
259           ,             9313
260           ,             8814
261           ,             8448
262           ,             8188
263           ,             7670
264           ,             7628
265           ,             7223
266           ,             7064
267           ,             6693
268           ,             6615
269           ,             6616
270           ,             6287
271           ,             6130
272           ,             6183
273           ,             6100
274           ,             5988
275           ,             6087
276           ,             6073
277           ,             5899
278           ,             5961
279           ,             5879
280           ,             5907
281           ,             5939
282           ,             5823
283           ,             5926
284           ,             6008
285           ,             6000
286           ,             6019
287           ,             6188
288           ,             6100
289           ,             6176
